method,feature,group,n,outlier_rows_abs_error_gt_1,outlier_fraction,mean_abs_error_log10
KcatNet,species,ecoli,781,248,0.3175416133162612,0.7874619534512627
KcatNet,species,yeast,465,74,0.15913978494623657,0.5829749793039222
KcatNet,source_database,BRENDA,683,174,0.2547584187408492,0.7240748005325901
KcatNet,source_database,SABIO-RK,468,122,0.2606837606837607,0.6829700989441633
KcatNet,source_database,BRENDA;SABIO-RK,95,26,0.2736842105263158,0.7570321679171839
KcatNet,experimental_substrate_support,substrate_supported,778,200,0.2570694087403599,0.7280991577325084
KcatNet,experimental_substrate_support,participant_ambiguous,468,122,0.2606837606837607,0.6829700989441633
KcatNet,substrate_role_group,other_reactant,606,158,0.2607260726072607,0.7509433181050348
KcatNet,substrate_role_group,currency_or_cofactor,606,156,0.25742574257425743,0.6653114057794113
KcatNet,substrate_role_group,carrier_linked_variable,34,8,0.23529411764705882,0.8188467161113403
KcatNet,substrate_role_group_substrate_supported,other_reactant,496,118,0.23790322580645162,0.7135373976304625
KcatNet,substrate_role_group_substrate_supported,currency_or_cofactor,256,77,0.30078125,0.7485000515446372
KcatNet,substrate_role_group_substrate_supported,carrier_linked_variable,26,5,0.19230769230769232,0.8050223959905771
CataPro,species,ecoli,781,264,0.3380281690140845,0.850446536627363
CataPro,species,yeast,465,95,0.20430107526881722,0.7048422619871686
CataPro,source_database,BRENDA,683,211,0.3089311859443631,0.8192090991882103
CataPro,source_database,SABIO-RK,468,115,0.24572649572649571,0.7639308082033793
CataPro,source_database,BRENDA;SABIO-RK,95,33,0.3473684210526316,0.7885364625818403
CataPro,experimental_substrate_support,substrate_supported,778,244,0.31362467866323906,0.8154637258236792
CataPro,experimental_substrate_support,participant_ambiguous,468,115,0.24572649572649571,0.7639308082033793
CataPro,substrate_role_group,other_reactant,606,178,0.29372937293729373,0.7995270853111066
CataPro,substrate_role_group,currency_or_cofactor,606,169,0.27887788778877887,0.7913879232968045
CataPro,substrate_role_group,carrier_linked_variable,34,12,0.35294117647058826,0.8192912268708763
CataPro,substrate_role_group_substrate_supported,other_reactant,496,152,0.3064516129032258,0.8040155776931774
CataPro,substrate_role_group_substrate_supported,currency_or_cofactor,256,82,0.3203125,0.8319779193623065
CataPro,substrate_role_group_substrate_supported,carrier_linked_variable,26,10,0.38461538461538464,0.8712578768560006
TurNuP,species,ecoli,734,232,0.31607629427792916,0.7365811250722071
TurNuP,species,yeast,313,66,0.2108626198083067,0.6576431398178914
TurNuP,source_database,BRENDA,546,121,0.2216117216117216,0.6621914011648351
TurNuP,source_database,SABIO-RK,414,145,0.3502415458937198,0.7602563991545894
TurNuP,source_database,BRENDA;SABIO-RK,87,32,0.367816091954023,0.8067838422988506
TurNuP,experimental_substrate_support,substrate_supported,633,153,0.24170616113744076,0.6820642959178514
TurNuP,experimental_substrate_support,participant_ambiguous,414,145,0.3502415458937198,0.7602563991545894
TurNuP,substrate_role_group,other_reactant,537,143,0.26629422718808193,0.7272214695046555
TurNuP,substrate_role_group,currency_or_cofactor,480,140,0.2916666666666667,0.6843503856291666
TurNuP,substrate_role_group,carrier_linked_variable,30,15,0.5,0.9162244780000001
TurNuP,substrate_role_group_substrate_supported,other_reactant,432,97,0.22453703703703703,0.6634280177523147
TurNuP,substrate_role_group_substrate_supported,currency_or_cofactor,178,44,0.24719101123595505,0.6976768876797753
TurNuP,substrate_role_group_substrate_supported,carrier_linked_variable,23,12,0.5217391304347826,0.9112743321739127
PMAK,species,ecoli,734,180,0.2452316076294278,0.7484983129316075
PMAK,species,yeast,313,57,0.18210862619808307,0.6635620043003194
PMAK,source_database,BRENDA,546,130,0.23809523809523808,0.722535800325641
PMAK,source_database,SABIO-RK,414,86,0.20772946859903382,0.7114829647826086
PMAK,source_database,BRENDA;SABIO-RK,87,21,0.2413793103448276,0.7820020073563217
PMAK,experimental_substrate_support,substrate_supported,633,151,0.23854660347551343,0.7307088809127962
PMAK,experimental_substrate_support,participant_ambiguous,414,86,0.20772946859903382,0.7114829647826086
PMAK,substrate_role_group,other_reactant,537,142,0.2644320297951583,0.7650363632547486
PMAK,substrate_role_group,currency_or_cofactor,480,88,0.18333333333333332,0.6691396293333334
PMAK,substrate_role_group,carrier_linked_variable,30,7,0.23333333333333334,0.8360373296666666
PMAK,substrate_role_group_substrate_supported,other_reactant,432,102,0.2361111111111111,0.7205579125412037
PMAK,substrate_role_group_substrate_supported,currency_or_cofactor,178,44,0.24719101123595505,0.7438362103932584
PMAK,substrate_role_group_substrate_supported,carrier_linked_variable,23,5,0.21739130434782608,0.8197764326086958
KinForm-L,species,ecoli,492,131,0.266260162601626,0.7569499271648732
KinForm-L,species,yeast,237,94,0.39662447257383965,0.8405760632855386
KinForm-L,source_database,BRENDA,414,123,0.2971014492753623,0.8037123832711474
KinForm-L,source_database,SABIO-RK,254,90,0.3543307086614173,0.795138055369686
KinForm-L,source_database,BRENDA;SABIO-RK,61,12,0.19672131147540983,0.6054737446825409
KinForm-L,experimental_substrate_support,substrate_supported,475,135,0.28421052631578947,0.7782543686313472
KinForm-L,experimental_substrate_support,participant_ambiguous,254,90,0.3543307086614173,0.795138055369686
KinForm-L,substrate_role_group,other_reactant,397,119,0.29974811083123426,0.7934975460064925
KinForm-L,substrate_role_group,currency_or_cofactor,319,103,0.322884012539185,0.7723468110787449
KinForm-L,substrate_role_group,carrier_linked_variable,13,3,0.23076923076923078,0.7875948203917731
KinForm-L,substrate_role_group_substrate_supported,other_reactant,328,100,0.3048780487804878,0.8041418241186467
KinForm-L,substrate_role_group_substrate_supported,currency_or_cofactor,138,32,0.2318840579710145,0.7053494769481075
KinForm-L,substrate_role_group_substrate_supported,carrier_linked_variable,9,3,0.3333333333333333,0.9526754411261198
CatPred,species,ecoli,755,254,0.33642384105960266,0.8734964485506409
CatPred,species,yeast,401,106,0.26433915211970077,0.7755112541175009
CatPred,source_database,BRENDA,683,193,0.28257686676427524,0.8082367095181022
CatPred,source_database,SABIO-RK,378,130,0.3439153439153439,0.8860220064589894
CatPred,source_database,BRENDA;SABIO-RK,95,37,0.3894736842105263,0.8792404264683152
CatPred,experimental_substrate_support,substrate_supported,778,230,0.29562982005141386,0.8169068291971129
CatPred,experimental_substrate_support,participant_ambiguous,378,130,0.3439153439153439,0.8860220064589894
CatPred,substrate_role_group,other_reactant,606,195,0.3217821782178218,0.8754257534326476
CatPred,substrate_role_group,currency_or_cofactor,516,155,0.3003875968992248,0.7900328595092846
CatPred,substrate_role_group,carrier_linked_variable,34,10,0.29411764705882354,0.9501432197022458
CatPred,substrate_role_group_substrate_supported,other_reactant,496,154,0.31048387096774194,0.8400116124644105
CatPred,substrate_role_group_substrate_supported,currency_or_cofactor,256,69,0.26953125,0.7635211825287218
CatPred,substrate_role_group_substrate_supported,carrier_linked_variable,26,7,0.2692307692307692,0.9017819463712874
