method_a,method_b,n_common,mae_a,mae_b,wilcoxon_statistic,p_value_raw,p_value_bh,significant_bh_fdr_0.05,better_method
KcatNet,CataPro,1246,0.7111485963256501,0.796107862704658,318621.0,3.8899602283182937e-08,7.551099266735512e-08,True,KcatNet
KcatNet,PreTKcat,1246,0.7111485963256501,0.9226724170203252,247256.0,1.0820533547700114e-28,6.492320128620068e-28,True,KcatNet
KcatNet,UniKP,1246,0.7111485963256501,0.8917824674499502,255900.0,1.756369527802225e-25,9.660032402912238e-25,True,KcatNet
KcatNet,SELFprot,1246,0.7111485963256501,0.9399674214101538,262170.5,2.8100816444126674e-23,1.2364359235415735e-22,True,KcatNet
KcatNet,DLKcat,1246,0.7111485963256501,0.973867234633991,261661.0,1.8773282275799582e-23,8.850261644305517e-23,True,KcatNet
KcatNet,TurNuP,1047,0.7188989113436972,0.7129826633868195,253430.0,0.03285126744993624,0.04090912550369418,True,TurNuP
KcatNet,PMAK,1047,0.7188989113436972,0.7231066561965616,268240.0,0.534841545777651,0.5693474519568543,False,KcatNet
KcatNet,KinForm-L,729,0.6769022660862901,0.7841370249160359,106397.0,2.80446032432514e-06,4.74600977962716e-06,True,KcatNet
KcatNet,CatPred,1156,0.7259452008483624,0.8395067747031589,273737.5,9.258207311370402e-08,1.7458333787155614e-07,True,KcatNet
KcatNet,DEKP-public-retrained,1246,0.7111485963256501,1.0691431600416428,192515.0,1.1628177874607823e-53,7.674597397241163e-52,True,KcatNet
KcatNet,GO-HKP,1236,0.7117933929164547,1.0308952495371242,233226.5,1.6650228028034253e-32,1.5698786426432295e-31,True,KcatNet
CataPro,PreTKcat,1246,0.796107862704658,0.9226724170203252,283900.0,1.8906689838077565e-16,5.19933970547133e-16,True,CataPro
CataPro,UniKP,1246,0.796107862704658,0.8917824674499502,310062.0,6.851111773053958e-10,1.5072445900718707e-09,True,CataPro
CataPro,SELFprot,1246,0.796107862704658,0.9399674214101538,317841.0,2.7416527537107e-08,5.740603950129016e-08,True,CataPro
CataPro,DLKcat,1246,0.796107862704658,0.973867234633991,308398.0,2.9672549804181087e-10,6.753063058882592e-10,True,CataPro
CataPro,TurNuP,1047,0.8024265131183569,0.7129826633868195,231509.5,1.2215752092122857e-05,1.9664381416588014e-05,True,TurNuP
CataPro,PMAK,1047,0.8024265131183569,0.7231066561965616,228054.0,2.2810977075405865e-06,3.961906544675755e-06,True,PMAK
CataPro,KinForm-L,729,0.8096148375789928,0.7841370249160359,130544.0,0.6604654752567665,0.6811050213585405,False,KinForm-L
CataPro,CatPred,1156,0.8274428373410214,0.8395067747031589,329229.0,0.6504921853948964,0.6811050213585405,False,CataPro
CataPro,DEKP-public-retrained,1246,0.796107862704658,1.0691431600416428,214170.0,7.972906994525356e-43,1.315529654096684e-41,True,CataPro
CataPro,GO-HKP,1236,0.797189233016156,1.0308952495371242,295616.0,5.168771358520726e-12,1.3645556386494716e-11,True,CataPro
PreTKcat,UniKP,1246,0.9226724170203252,0.8917824674499502,354740.0,0.007985016883372827,0.010540222286052132,True,UniKP
PreTKcat,SELFprot,1246,0.9226724170203252,0.9399674214101538,386446.0,0.8752484491088446,0.8887138098643653,False,PreTKcat
PreTKcat,DLKcat,1246,0.9226724170203252,0.973867234633991,369325.0,0.13241127963119928,0.15331832378349391,False,PreTKcat
PreTKcat,TurNuP,1047,0.925593698722722,0.7129826633868195,173607.0,7.810002380006631e-25,3.965078131387982e-24,True,TurNuP
PreTKcat,PMAK,1047,0.925593698722722,0.7231066561965616,183056.0,1.1139474810727663e-20,4.3247372794589746e-20,True,PMAK
PreTKcat,KinForm-L,729,0.8978391916388095,0.7841370249160359,101623.0,3.314062993713831e-08,6.628125987427662e-08,True,KinForm-L
PreTKcat,CatPred,1156,0.9213848974387852,0.8395067747031589,274989.0,1.690656901698493e-07,3.0995376531139037e-07,True,CatPred
PreTKcat,DEKP-public-retrained,1246,0.9226724170203252,1.0691431600416428,245810.0,3.004287066191384e-29,1.9828294636863137e-28,True,PreTKcat
