subset,method,subset_total_rows,n,coverage_within_subset_percent,mae_log10,rmse_log10,pearson_log10,spearman_log10,r2_log10,bias_log10,median_abs_error_log10,within_0.3_log10_fraction,within_1.0_log10_fraction
catpred_accessible_scope_1156_available_case,KcatNet,1156,1156,100.0,0.7259452008483624,1.023915274457746,0.43194788635696235,0.4435489316401452,0.14468623356820987,0.06997001599941505,0.5002239743614196,0.3391003460207612,0.7396193771626297
catpred_accessible_scope_1156_available_case,CataPro,1156,1156,100.0,0.8274428373410214,1.0490417610178053,0.4224666832238695,0.41640389724069526,0.10219302890923465,-0.12656323220741827,0.7143541139770508,0.2102076124567474,0.6903114186851211
catpred_accessible_scope_1156_available_case,PreTKcat,1156,1156,100.0,0.9213848974387852,1.1501028139242429,0.33353492392412415,0.34917103219523277,-0.07912250734578441,-0.4424159017631828,0.7764570813319088,0.17301038062283736,0.6003460207612457
catpred_accessible_scope_1156_available_case,UniKP,1156,1156,100.0,0.8842336391649126,1.106426665219966,0.38969757583204795,0.4081245870742859,0.0012824389403307546,-0.4224055470226857,0.7658616318915626,0.19204152249134948,0.6634948096885813
catpred_accessible_scope_1156_available_case,SELFprot,1156,1156,100.0,0.9357630105780008,1.219027952802896,0.357849736830169,0.34501298284321086,-0.21234087297674242,-0.08275478073791646,0.7595479861297607,0.2378892733564014,0.6444636678200693
catpred_accessible_scope_1156_available_case,DLKcat,1156,1156,100.0,0.9519734492974152,1.311125101505161,0.3204991019501792,0.3139382299526574,-0.40244449733603815,-0.3903280789802148,0.7233959070391138,0.2889273356401384,0.5986159169550173
catpred_accessible_scope_1156_available_case,TurNuP,1156,976,84.42906574394463,0.7181448259795081,1.0135433312628497,0.3911857706353745,0.4070498489705185,0.0960829723902199,0.07779330083811475,0.48097385000000004,0.35450819672131145,0.7202868852459017
catpred_accessible_scope_1156_available_case,PMAK,1156,976,84.42906574394463,0.7340850612579919,1.0071849896092004,0.38768004098832753,0.4118580772916608,0.10738862703739693,0.11076784649159838,0.52173227,0.29405737704918034,0.7581967213114754
catpred_accessible_scope_1156_available_case,KinForm-L,1156,695,60.121107266435985,0.7699648207217827,0.9793199880370197,0.5475893679918873,0.5415824076380102,0.22594174740658046,-0.2934442313207608,0.6356335905249715,0.2302158273381295,0.7122302158273381
catpred_accessible_scope_1156_available_case,CatPred,1156,1156,100.0,0.8395067747031589,1.1492276383858104,0.4229900660319217,0.4245488296769002,-0.07748080665749257,0.04083863654177341,0.6249186561763928,0.2906574394463668,0.6885813148788927
catpred_accessible_scope_1156_available_case,DEKP-public-retrained,1156,1156,100.0,1.0407065759227605,1.2561093383487987,0.059096102876768274,0.05930430451424758,-0.28721860219900974,-0.5738217994502846,0.9295994105424499,0.15397923875432526,0.5363321799307958
catpred_accessible_scope_1156_available_case,GO-HKP,1156,1146,99.13494809688581,1.0622258193851144,1.42588204558164,0.28713779420924446,0.2713112238798255,-0.6505202941343784,0.9229619663640721,0.7733341624081578,0.2801047120418848,0.5837696335078534
kinform_accessible_scope_729_available_case,KcatNet,729,729,100.0,0.6769022660862901,0.9930562729588274,0.5212667057596676,0.5247581725920946,0.20636821217127232,0.20553019440468692,0.4428480066680909,0.41975308641975306,0.766803840877915
kinform_accessible_scope_729_available_case,CataPro,729,729,100.0,0.8096148375789928,1.040108841299022,0.4467098998076758,0.4441490940589356,0.1293794530615774,-0.005093557661746823,0.6746389991493225,0.20027434842249658,0.6982167352537723
kinform_accessible_scope_729_available_case,PreTKcat,729,729,100.0,0.8978391916388095,1.129654127234385,0.3409991136016817,0.36284819618126984,-0.026980797144972035,-0.3243163507864975,0.7411490552634001,0.18930041152263374,0.6104252400548696
kinform_accessible_scope_729_available_case,UniKP,729,729,100.0,0.8086872964514932,1.0006073363659147,0.5022532469444456,0.5107186298477076,0.19425299132773943,-0.2669856093676129,0.7242846073098854,0.18381344307270234,0.7160493827160493
kinform_accessible_scope_729_available_case,SELFprot,729,729,100.0,0.9379730460226722,1.2309200402553422,0.390046736584408,0.3879169980800375,-0.21935740792303404,0.05577999717186978,0.741583202583313,0.25102880658436216,0.6392318244170097
kinform_accessible_scope_729_available_case,DLKcat,729,729,100.0,0.8199775952109024,1.1595441168513023,0.5152910951701182,0.5367672323355672,-0.08204641349200026,-0.291200005361353,0.555590388248262,0.3497942386831276,0.663923182441701
kinform_accessible_scope_729_available_case,TurNuP,729,646,88.61454046639231,0.6841664022089784,0.9818453041710549,0.4414026440664068,0.42819266047318755,0.09457147890870932,0.17849900417182665,0.41011489999999995,0.4086687306501548,0.7291021671826625
kinform_accessible_scope_729_available_case,PMAK,729,646,88.61454046639231,0.6952386712814241,0.9587332989407575,0.4424582665355757,0.4495411675579264,0.13669618672687955,0.17569962825975233,0.48960924999999994,0.29566563467492263,0.7708978328173375
kinform_accessible_scope_729_available_case,KinForm-L,729,729,100.0,0.7841370249160359,0.9868375830603665,0.5534218086561731,0.5486947994534199,0.2162768087111382,-0.32971311188522906,0.660405362651825,0.2222222222222222,0.691358024691358
kinform_accessible_scope_729_available_case,CatPred,729,695,95.3360768175583,0.8512828705887243,1.175499905471639,0.4578433536993072,0.4432428746620962,-0.11524325445327088,0.1910923300987318,0.5934894117125111,0.32661870503597124,0.6589928057553956
