Species,Matching level,Records,% of species,% of benchmark
ecoli,Species + EC + UniProt + substrate ID,332,42.50960307298335,26.64526484751204
ecoli,Species + EC + substrate ID,446,57.10627400768246,35.79454253611557
ecoli,Species + EC + substrate name,3,0.38412291933418696,0.24077046548956663
yeast,Species + EC + UniProt + substrate ID,127,27.311827956989248,10.192616372391653
yeast,Species + EC + substrate ID,338,72.68817204301075,27.12680577849117
