method,n,metric,estimate,bootstrap_ci_low_95,bootstrap_ci_high_95,bootstrap_replicates,seed
KcatNet,1246,mae_log10,0.7111485963256501,0.6723210239686508,0.7519473108660042,2000,20260710
KcatNet,1246,spearman_log10,0.4649932306652427,0.4158646291807422,0.5123687641735108,2000,20260710
KcatNet,1246,within_0.3_fraction,0.35313001605136435,0.32664526484751205,0.37881219903691815,2000,20260710
KcatNet,1246,within_1.0_fraction,0.7415730337078652,0.7174759229534511,0.7664526484751204,2000,20260710
CataPro,1246,mae_log10,0.796107862704658,0.7606922262526277,0.8321338825080008,2000,20260710
CataPro,1246,spearman_log10,0.46685604610843306,0.4193481123146075,0.5144733702332935,2000,20260710
CataPro,1246,within_0.3_fraction,0.2319422150882825,0.2086677367576244,0.2568218298555377,2000,20260710
CataPro,1246,within_1.0_fraction,0.7118780096308186,0.686978330658106,0.7383828250401282,2000,20260710
PreTKcat,1246,mae_log10,0.9226724170203252,0.8850093379624995,0.9622070005077499,2000,20260710
PreTKcat,1246,spearman_log10,0.39242699392966013,0.34250260327510873,0.44219406185693416,2000,20260710
PreTKcat,1246,within_0.3_fraction,0.17014446227929375,0.1492776886035313,0.19101123595505617,2000,20260710
PreTKcat,1246,within_1.0_fraction,0.5979133226324238,0.5698234349919743,0.6252006420545746,2000,20260710
UniKP,1246,mae_log10,0.8917824674499502,0.8554777906919049,0.9288672448201447,2000,20260710
UniKP,1246,spearman_log10,0.4325606709792049,0.3859057525344293,0.48204047572013187,2000,20260710
UniKP,1246,within_0.3_fraction,0.18057784911717495,0.15890850722311398,0.20224719101123595,2000,20260710
UniKP,1246,within_1.0_fraction,0.6548956661316212,0.6276083467094703,0.6814004815409308,2000,20260710
SELFprot,1246,mae_log10,0.9399674214101539,0.8974606613471479,0.9833834037786425,2000,20260710
SELFprot,1246,spearman_log10,0.3736212568459027,0.3212565367492044,0.42168326493146946,2000,20260710
SELFprot,1246,within_0.3_fraction,0.2391653290529695,0.21587078651685393,0.2640449438202247,2000,20260710
SELFprot,1246,within_1.0_fraction,0.637239165329053,0.6099518459069021,0.6637239165329053,2000,20260710
DLKcat,1246,mae_log10,0.973867234633991,0.925219753547078,1.0235190831350574,2000,20260710
DLKcat,1246,spearman_log10,0.30778735996273787,0.252799038844305,0.36526209201629944,2000,20260710
DLKcat,1246,within_0.3_fraction,0.27608346709470305,0.25120385232744785,0.3001605136436597,2000,20260710
DLKcat,1246,within_1.0_fraction,0.5842696629213483,0.5561597110754415,0.6115569823434992,2000,20260710
TurNuP,1047,mae_log10,0.7129826633868195,0.6722466729042024,0.7547909056615328,2000,20260710
TurNuP,1047,spearman_log10,0.4183043972212784,0.36103685386639667,0.4722686722078831,2000,20260710
TurNuP,1047,within_0.3_fraction,0.3495702005730659,0.32089302769818534,0.37822349570200575,2000,20260710
TurNuP,1047,within_1.0_fraction,0.7153772683858644,0.6876790830945558,0.7421203438395415,2000,20260710
PMAK,1047,mae_log10,0.7231066561965616,0.6841244798377268,0.762730037416337,2000,20260710
PMAK,1047,spearman_log10,0.44319695515362506,0.38743266032441964,0.4984869594536124,2000,20260710
PMAK,1047,within_0.3_fraction,0.2922636103151863,0.26552053486150906,0.31996179560649474,2000,20260710
PMAK,1047,within_1.0_fraction,0.7736389684813754,0.7488061127029608,0.7975167144221585,2000,20260710
KinForm-L,729,mae_log10,0.7841370249160359,0.7427943644706664,0.8283828479802541,2000,20260710
KinForm-L,729,spearman_log10,0.5486947994534199,0.4886161867215535,0.6069996677833878,2000,20260710
KinForm-L,729,within_0.3_fraction,0.2222222222222222,0.1934156378600823,0.25102880658436216,2000,20260710
KinForm-L,729,within_1.0_fraction,0.691358024691358,0.6570644718792867,0.7242798353909465,2000,20260710
CatPred,1156,mae_log10,0.8395067747031589,0.7958467648181602,0.882878694203654,2000,20260710
CatPred,1156,spearman_log10,0.4245488296769002,0.37006154544479525,0.4750424122114999,2000,20260710
CatPred,1156,within_0.3_fraction,0.2906574394463668,0.2629757785467128,0.3166089965397924,2000,20260710
CatPred,1156,within_1.0_fraction,0.6885813148788927,0.6617647058823529,0.7153979238754326,2000,20260710
DEKP-public-retrained,1246,mae_log10,1.0691431600416428,1.0320734739395576,1.1073000338010652,2000,20260710
DEKP-public-retrained,1246,spearman_log10,0.11368239108548943,0.06126181504033867,0.16772602622415372,2000,20260710
DEKP-public-retrained,1246,within_0.3_fraction,0.14365971107544143,0.12439807383627609,0.16292134831460675,2000,20260710
DEKP-public-retrained,1246,within_1.0_fraction,0.5048154093097913,0.47752808988764045,0.5313001605136437,2000,20260710
GO-HKP,1236,mae_log10,1.0308952495371242,0.9800904417078253,1.0814397301072856,2000,20260710
GO-HKP,1236,spearman_log10,0.32217797142713356,0.2715171486821275,0.37262026489987216,2000,20260710
GO-HKP,1236,within_0.3_fraction,0.290453074433657,0.26537216828478966,0.31472491909385114,2000,20260710
GO-HKP,1236,within_1.0_fraction,0.5962783171521036,0.5703883495145631,0.6229773462783171,2000,20260710
