analysis,n,denominator,median_abs_dispersion_log10,mean_abs_dispersion_log10,median_cross_database_difference_log10,dispersion_formula,interpretation
records_with_multiple_selected_measurements,655,1246,0.1755983025648556,0.4191892469154742,,For record r: d_r = median_i(|log10(kcat_ri) - median_j(log10(kcat_rj))|); reported value = median_r(d_r).,Dispersion among measurements selected at the strongest available matching level; only records with at least two selected positive measurements enter this summary.
records_with_brenda_and_sabiork_selected_measurements,95,1246,,,0.3204133402322353,For record r: |median_i_in_BRENDA(log10(kcat_ri)) - median_j_in_SABIO-RK(log10(kcat_rj))|; reported value = median across records.,Absolute difference between source-specific medians; source support is not treated as independent replication.
