Species,Source database,Records,% of species,% of benchmark
ecoli,BRENDA,431,55.18565941101152,34.59069020866774
ecoli,BRENDA;SABIO-RK,79,10.115236875800257,6.340288924558587
ecoli,SABIO-RK,271,34.69910371318822,21.74959871589085
yeast,BRENDA,252,54.193548387096776,20.224719101123597
yeast,BRENDA;SABIO-RK,16,3.4408602150537635,1.2841091492776886
yeast,SABIO-RK,197,42.365591397849464,15.81059390048154
