reaction,GO_HKP,DLKcat,MTLKP,TurNup,UniKP
2AGPGAT161,98.49306668197663,16.3454,,1.3197332620620728,4.04186287809693
2AGPGAT180,98.49306668197663,15.0285,1.9625669,1.48662006855011,6.47591517554057
2AGPGAT181,98.49306668197663,33.7149,1.8770452,3.1124603748321533,6.47591517554057
2DDARAA_num1,136.47847541820553,,,,
2DDARAA_num2,136.47847541820553,,,,
2DDARAA_reverse_num1,136.47847541820553,3126.5841,6.137667,23.792036056518555,184.70413182781493
2DDARAA_reverse_num2,136.47847541820553,,5.536085,25.15447235107422,
2DGLCptspp,152.62479040685164,59.1738,0.96225995,10.40248680114746,14.184827825821973
2DGLCtex_num1,96.29042090558659,,,,
2DGLCtex_num2,96.29042090558659,,,,
2DGLCtex_num3,33.2825,,,,
2DGLCtex_num4,94.81680000000001,,,,
2DGLCtex_reverse_num1,96.29042090558659,,,,
2DGLCtex_reverse_num2,96.29042090558659,,,,
2DGLCtex_reverse_num3,33.2825,,,,
2DGLCtex_reverse_num4,94.81680000000001,,,,
2DGULRGx,124.73964281862038,2.2766,,19.29294776916504,0.9309737680315668
2DGULRGy,124.73964281862038,2.7274,,22.01556968688965,1.1038974093825238
2DGULRx,124.73964281862038,1.0461,,19.29294776916504,33.81246352611123
2DGULRy,124.73964281862038,0.1046,,22.01556968688965,33.81246352611123
2DOXG6PP_num1,157.17088698230995,1.2724,3.4761665,8.821300506591797,5.160646713364276
2DOXG6PP_num2,173.42795360893282,,4.0478,22.591367721557617,1.7851135665555418
2DOXG6PP_num3,149.80799644754114,,0.7941894,5.092029571533203,1.7851135665555418
2DOXG6PP_num4,173.42795360893282,,1.6524347,17.724365234375,5.2469593410977335
2HESR_num1,221.50419686676088,27.1069,8.169506,4.926880836486816,3.6115615622253454
2HESR_num2,215.03354492000008,,8.420273,5.245456218719482,10.400376497266745
2HPTCOAT,151.18324760891227,1.761,,5.091606140136719,2.117565282847367
2MAHMP_num1,173.42795360893282,2.2478,1.3363798,14.825173377990724,3.0734277155319725
2MAHMP_num2,157.17088698230995,,0.75591874,2.212373733520508,1.7922015180772033
34dhpactex_num1,96.29042090558659,,,,
34dhpactex_num2,33.2825,,,,
34dhpactex_num3,94.81680000000001,,,,
34dhpactex_num4,96.29042090558659,,,,
34dhpactex_reverse_num1,96.29042090558659,,,,
34dhpactex_reverse_num2,33.2825,,,,
