method,species_ecoli,species_yeast,source_BRENDA_only,source_SABIO_RK_only,source_BRENDA_plus_SABIO_RK,role_other_reactant,role_currency_cofactor
KcatNet,0.7874619534512627,0.5829749793039222,0.7240748005325901,0.6829700989441633,0.7570321867316917,0.7135373976304625,0.7485000515446372
CataPro,0.850446536627363,0.7048422619871686,0.8192090991882103,0.7639308082033793,0.7885355466922965,0.8040155776931774,0.8319779193623065
TurNuP,0.7365811250722071,0.6576431398178914,0.6621914011648351,0.7602563991545894,0.8067841699421966,0.6634280177523147,0.6976768876797753
PMAK,0.7484983129316075,0.6635620043003194,0.722535800325641,0.7114829647826086,0.7820019755256331,0.7205579125412037,0.7438362103932584
KinForm-L,0.7569499271648732,0.8405760632855386,0.8037123832711474,0.795138055369686,0.605473511978255,0.8041418241186467,0.7053494769481075
CatPred,0.8734964485506409,0.7755112541175009,0.8082367095181022,0.8860220064589894,0.8792396291337303,0.8400116124644105,0.7635211825287218
