method,BRENDA_only_MAE_log10,SABIO_RK_only_MAE_log10,source_contrast_BRENDA_minus_SABIO,other_reactant_MAE_log10,currency_cofactor_MAE_log10,substrate_contrast_other_minus_currency
KcatNet,0.7240748005325901,0.6829700989441633,0.0411047015884268,0.7135373976304625,0.7485000515446372,-0.0349626539141747
CataPro,0.8192090991882103,0.7639308082033793,0.055278290984831,0.8040155776931774,0.8319779193623065,-0.0279623416691291
TurNuP,0.6621914011648351,0.7602563991545894,-0.0980649979897543,0.6634280177523147,0.6976768876797753,-0.0342488699274606
PMAK,0.722535800325641,0.7114829647826086,0.0110528355430324,0.7205579125412037,0.7438362103932584,-0.0232782978520547
KinForm-L,0.8037123832711474,0.795138055369686,0.0085743279014614,0.8041418241186467,0.7053494769481075,0.0987923471705392
CatPred,0.8082367095181022,0.8860220064589894,-0.0777852969408872,0.8400116124644105,0.7635211825287218,0.0764904299356887
