subset,method,subset_total_rows,n,coverage_within_subset_percent,mae_log10,rmse_log10,pearson_log10,spearman_log10,r2_log10,bias_log10,median_abs_error_log10,within_0.3_log10_fraction,within_1.0_log10_fraction
catpred_accessible_scope_1156_available_case,KcatNet,1156,1156,100,0.7259452008483624,1.023915274457746,0.4319478863569624,0.4435489316401452,0.1446862335682099,0.06997001599941505,0.5002239743614196,0.3391003460207612,0.7396193771626297
catpred_accessible_scope_1156_available_case,CataPro,1156,1156,100,0.8274428373410214,1.049041761017805,0.4224666832238695,0.4164038972406953,0.1021930289092347,-0.1265632322074183,0.7143541139770508,0.2102076124567474,0.6903114186851211
catpred_accessible_scope_1156_available_case,PreTKcat,1156,1156,100,0.9213848974387852,1.150102813924243,0.3335349239241241,0.3491710321952328,-0.07912250734578441,-0.4424159017631828,0.7764570813319088,0.1730103806228374,0.6003460207612457
catpred_accessible_scope_1156_available_case,UniKP,1156,1156,100,0.8842336391649126,1.106426665219966,0.3896975758320479,0.4081245870742859,0.001282438940330755,-0.4224055470226857,0.7658616318915626,0.1920415224913495,0.6634948096885813
catpred_accessible_scope_1156_available_case,SELFprot,1156,1156,100,0.9357630105780008,1.219027952802896,0.357849736830169,0.3450129828432109,-0.2123408729767424,-0.08275478073791646,0.7595479861297607,0.2378892733564014,0.6444636678200693
catpred_accessible_scope_1156_available_case,DLKcat,1156,1156,100,0.9519734492974152,1.311125101505161,0.3204991019501792,0.3139382299526574,-0.4024444973360382,-0.3903280789802148,0.7233959070391138,0.2889273356401384,0.5986159169550173
catpred_accessible_scope_1156_available_case,TurNuP,1156,976,84.42906574394463,0.7181448259795081,1.01354333126285,0.3911857706353745,0.4070498489705185,0.0960829723902199,0.07779330083811475,0.48097385,0.3545081967213115,0.7202868852459017
catpred_accessible_scope_1156_available_case,PMAK,1156,976,84.42906574394463,0.7340850612579919,1.0071849896092,0.3876800409883275,0.4118580772916608,0.1073886270373969,0.1107678464915984,0.52173227,0.2940573770491803,0.7581967213114754
catpred_accessible_scope_1156_available_case,KinForm-L,1156,695,60.12110726643598,0.7699648207217827,0.9793199880370197,0.5475893679918873,0.5415824076380102,0.2259417474065805,-0.2934442313207608,0.6356335905249715,0.2302158273381295,0.7122302158273381
catpred_accessible_scope_1156_available_case,CatPred,1156,1156,100,0.8395067747031589,1.14922763838581,0.4229900660319217,0.4245488296769002,-0.07748080665749257,0.04083863654177341,0.6249186561763928,0.2906574394463668,0.6885813148788927
catpred_accessible_scope_1156_available_case,DEKP-public-retrained,1156,1156,100,1.040706575922761,1.256109338348799,0.05909610287676827,0.05930430451424758,-0.2872186021990097,-0.5738217994502846,0.9295994105424499,0.1539792387543253,0.5363321799307958
catpred_accessible_scope_1156_available_case,GO-HKP,1156,1146,99.13494809688581,1.062225819385114,1.42588204558164,0.2871377942092445,0.2713112238798255,-0.6505202941343784,0.9229619663640721,0.7733341624081578,0.2801047120418848,0.5837696335078534
kinform_accessible_scope_729_available_case,KcatNet,729,729,100,0.6769022660862901,0.9930562729588274,0.5212667057596676,0.5247581725920946,0.2063682121712723,0.2055301944046869,0.4428480066680909,0.4197530864197531,0.766803840877915
kinform_accessible_scope_729_available_case,CataPro,729,729,100,0.8096148375789928,1.040108841299022,0.4467098998076758,0.4441490940589356,0.1293794530615774,-0.005093557661746823,0.6746389991493225,0.2002743484224966,0.6982167352537723
kinform_accessible_scope_729_available_case,PreTKcat,729,729,100,0.8978391916388095,1.129654127234385,0.3409991136016817,0.3628481961812698,-0.02698079714497204,-0.3243163507864975,0.7411490552634001,0.1893004115226337,0.6104252400548696
kinform_accessible_scope_729_available_case,UniKP,729,729,100,0.8086872964514932,1.000607336365915,0.5022532469444456,0.5107186298477076,0.1942529913277394,-0.2669856093676129,0.7242846073098854,0.1838134430727023,0.7160493827160493
kinform_accessible_scope_729_available_case,SELFprot,729,729,100,0.9379730460226722,1.230920040255342,0.390046736584408,0.3879169980800375,-0.219357407923034,0.05577999717186978,0.741583202583313,0.2510288065843622,0.6392318244170097
kinform_accessible_scope_729_available_case,DLKcat,729,729,100,0.8199775952109024,1.159544116851302,0.5152910951701182,0.5367672323355672,-0.08204641349200026,-0.291200005361353,0.555590388248262,0.3497942386831276,0.663923182441701
kinform_accessible_scope_729_available_case,TurNuP,729,646,88.61454046639231,0.6841664022089784,0.9818453041710549,0.4414026440664068,0.4281926604731875,0.09457147890870932,0.1784990041718267,0.4101148999999999,0.4086687306501548,0.7291021671826625
kinform_accessible_scope_729_available_case,PMAK,729,646,88.61454046639231,0.6952386712814241,0.9587332989407575,0.4424582665355757,0.4495411675579264,0.1366961867268796,0.1756996282597523,0.4896092499999999,0.2956656346749226,0.7708978328173375
kinform_accessible_scope_729_available_case,KinForm-L,729,729,100,0.7841370249160359,0.9868375830603665,0.5534218086561731,0.5486947994534199,0.2162768087111382,-0.3297131118852291,0.660405362651825,0.2222222222222222,0.691358024691358
kinform_accessible_scope_729_available_case,CatPred,729,695,95.3360768175583,0.8512828705887243,1.175499905471639,0.4578433536993072,0.4432428746620962,-0.1152432544532709,0.1910923300987318,0.5934894117125111,0.3266187050359712,0.6589928057553956
kinform_accessible_scope_729_available_case,DEKP-public-retrained,729,729,100,1.045057097974212,1.229360737310985,0.06586281621261657,0.06805073940716279,-0.2162700533570121,-0.497452965867288,0.9438197171640397,0.1289437585733882,0.5281207133058985
