Species,Source database,Records,% of species,% of benchmark
E. coli,BRENDA,431,55.18565941101152,34.59069020866774
E. coli,BRENDA;SABIO-RK,79,10.11523687580026,6.340288924558587
E. coli,SABIO-RK,271,34.69910371318822,21.74959871589085
S. cerevisiae,BRENDA,252,54.19354838709678,20.2247191011236
S. cerevisiae,BRENDA;SABIO-RK,16,3.440860215053763,1.284109149277689
S. cerevisiae,SABIO-RK,197,42.36559139784946,15.81059390048154
