analysis_scope,statistical_unit,aggregation_rule,scope_units,method,n,coverage_within_scope_percent,mae_log10,rmse_log10,spearman_log10,bias_log10,within_0.3_fraction,within_1.0_fraction
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,KcatNet,1246,100,0.7111485963256501,1.005473031241136,0.4649932306652427,0.0372409957007142,0.3531300160513643,0.7415730337078652
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,CataPro,1246,100,0.796107862704658,1.019192466849201,0.466856046108433,-0.1342130483773581,0.2319422150882825,0.7118780096308186
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,PreTKcat,1246,100,0.9226724170203252,1.14639155908914,0.3924269939296601,-0.4758296452115,0.1701444622792937,0.5979133226324238
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,UniKP,1246,100,0.8917824674499502,1.10882375748308,0.4325606709792049,-0.4611713928011017,0.1805778491171749,0.6548956661316212
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,SELFprot,1246,100,0.939967421410154,1.219310159004138,0.3736212568459027,-0.0976652447605364,0.2391653290529695,0.637239165329053
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,DLKcat,1246,100,0.973867234633991,1.321799934200048,0.3077873599627378,-0.450950250630031,0.276083467094703,0.5842696629213483
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,TurNuP,1047,84.02889245585875,0.7129826633868195,0.9977125228637708,0.4183043972212784,0.0375029336275071,0.3495702005730659,0.7153772683858644
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,PMAK,1047,84.02889245585875,0.7231066561965616,0.9867474435761984,0.443196955153625,0.0723572249148042,0.2922636103151863,0.7736389684813754
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,KinForm-L,729,58.50722311396468,0.7841370249160359,0.9868375830603664,0.5486947994534199,-0.329713111885229,0.2222222222222222,0.691358024691358
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,CatPred,1156,92.776886035313,0.8395067747031589,1.14922763838581,0.4245488296769002,0.0408386365417734,0.2906574394463668,0.6885813148788927
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,DEKP-public-retrained,1246,100,1.069143160041643,1.274070539344764,0.1136823910854894,-0.6316814111044359,0.1436597110754414,0.5048154093097913
all_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1246,GO-HKP,1236,99.19743178170144,1.030895249537124,1.394961091928623,0.3221779714271335,0.8886161542138802,0.290453074433657,0.5962783171521036
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,KcatNet,778,100,0.7280991577325084,1.048025222399165,0.4290914326807478,0.0435779822546588,0.358611825192802,0.7429305912596401
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,CataPro,778,100,0.8154637258236792,1.063502303360676,0.4428802595434703,-0.2851330974346261,0.2377892030848329,0.6863753213367609
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,PreTKcat,778,100,0.9383178619956332,1.195415432291285,0.3289391432604024,-0.4910329242525995,0.1863753213367609,0.6066838046272494
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,UniKP,778,100,0.9084400731338474,1.155262195498354,0.4442329199194623,-0.5175584953248397,0.2030848329048843,0.6465295629820051
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,SELFprot,778,100,0.910664386762244,1.190465246055817,0.3619068093941174,-0.1599905960893471,0.2339331619537275,0.6606683804627249
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,DLKcat,778,100,1.029358178273547,1.410133640278825,0.2475450230731283,-0.4279808667294972,0.2532133676092545,0.5565552699228792
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,TurNuP,633,81.36246786632391,0.6820642959178514,1.000439356249131,0.4386169153478141,-0.0160238053428119,0.3870458135860979,0.7582938388625592
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,PMAK,633,81.36246786632391,0.7307088809127962,1.022469922017048,0.3676303808944094,0.0451409142271722,0.3127962085308057,0.7614533965244866
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,KinForm-L,475,61.05398457583548,0.7782543686313472,1.012036963733135,0.5926148652808733,-0.3817809892161341,0.231578947368421,0.7157894736842105
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,CatPred,778,100,0.8169068291971129,1.146794925016255,0.3996665682783634,-0.0743482984042408,0.3226221079691517,0.7043701799485861
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,DEKP-public-retrained,778,100,1.029467644305562,1.263138243871255,0.0864354839571832,-0.5821520509287683,0.1452442159383033,0.5719794344473008
substrate_supported_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,778,GO-HKP,768,98.7146529562982,1.015892020788266,1.395277692540276,0.2876436271964342,0.8650364506710281,0.2994791666666667,0.62109375
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,KcatNet,468,100,0.6829700989441633,0.9304379015303254,0.4342163814677898,0.0267064325832592,0.344017094017094,0.7393162393162394
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,CataPro,468,100,0.7639308082033793,0.9409257243200052,0.4207355348313652,0.1166754092434849,0.2222222222222222,0.7542735042735043
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,PreTKcat,468,100,0.8966635362707749,1.059888426064462,0.3629296356949039,-0.4505558180876208,0.1431623931623931,0.5833333333333334
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,UniKP,468,100,0.8640909776591978,1.026988356983298,0.3039903832112097,-0.3674338591184774,0.1431623931623931,0.6688034188034188
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,SELFprot,468,100,0.988680585846209,1.265807969859539,0.3487451951185502,0.0059439931322301,0.2478632478632478,0.5982905982905983
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,DLKcat,468,100,0.8816194693528497,1.160165215336984,0.3775721274287233,-0.4891343973706619,0.3141025641025641,0.6303418803418803
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,TurNuP,414,88.46153846153847,0.7602563991545894,0.993528764643977,0.3965097357405278,0.119344541763285,0.2922705314009662,0.6497584541062802
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,PMAK,414,88.46153846153847,0.7114829647826086,0.9294776861633058,0.5533962275992352,0.1139705695169082,0.2608695652173913,0.7922705314009661
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,KinForm-L,254,54.27350427350427,0.795138055369686,0.9378975423810764,0.4634149492742667,-0.2323420814435757,0.2047244094488189,0.6456692913385826
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,CatPred,378,80.76923076923077,0.8860220064589894,1.154218514920225,0.4726416360281189,0.2779165079385964,0.2248677248677248,0.656084656084656
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,DEKP-public-retrained,468,100,1.135099466115726,1.292039626453532,-0.0546725479269498,-0.7140186807981734,0.141025641025641,0.3931623931623931
participant_ambiguous_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,468,GO-HKP,468,100,1.055515932612174,1.394441386437876,0.2293595806434838,0.9273110523354836,0.2756410256410256,0.5555555555555556
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,KcatNet,459,100,0.5895931371153867,0.8929448936905352,0.6131372691403655,0.157846839092156,0.4727668845315904,0.8061002178649237
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,CataPro,459,100,0.7135240276268134,0.9106059351472306,0.5935228624750396,0.0089969019931584,0.2135076252723311,0.7690631808278867
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,PreTKcat,459,100,0.8232102390595449,1.033452307462696,0.5445296779477465,-0.3454293084084965,0.2156862745098039,0.6623093681917211
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,UniKP,459,100,0.8276194937952435,1.020206543662881,0.4955119665916757,-0.3085196926204264,0.1808278867102396,0.6971677559912854
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,SELFprot,459,100,0.8405465565899772,1.134972437494411,0.4335016223463618,0.0389136978393144,0.2723311546840958,0.7189542483660131
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,DLKcat,459,100,0.8860066608301045,1.252059131633124,0.4440921253373278,-0.3592582549296974,0.3093681917211329,0.6535947712418301
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,TurNuP,425,92.5925925925926,0.6409868145976471,0.9440252223189898,0.5685241058370585,0.2281206742870588,0.4494117647058823,0.7411764705882353
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,PMAK,425,92.5925925925926,0.6612306913454118,0.9380363686891058,0.5679539435317592,0.2244938707995293,0.3435294117647058,0.8023529411764706
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,KinForm-L,402,87.58169934640523,0.6907673660506684,0.8604492360486625,0.6877174941755734,-0.3220717812742931,0.2736318407960199,0.7313432835820896
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,CatPred,433,94.3355119825708,0.7160561747347942,1.030647404583887,0.5832579474728693,0.1063183073157004,0.3787528868360277,0.7528868360277137
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,DEKP-public-retrained,459,100,1.046781027240493,1.213974987812053,0.1198039906524356,-0.4718151895170569,0.130718954248366,0.5032679738562091
accession_matched_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,459,GO-HKP,459,100,1.119452328958688,1.485226331295428,0.0859343357835413,0.982193912903316,0.2527233115468409,0.5838779956427015
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,KcatNet,1147,100,0.7269535451529493,1.026493119461356,0.440742863627616,0.0670939722040808,0.3417611159546643,0.7375762859633828
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,CataPro,1147,100,0.8250079743552269,1.047686669686494,0.4197513976874636,-0.1364837574651708,0.2118570183086312,0.6939843068875327
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,PreTKcat,1147,100,0.924273222447952,1.153205188167881,0.348118550852879,-0.4468945826365884,0.1717523975588491,0.5972101133391456
