method_a,method_b,n_common,mae_a,mae_b,wilcoxon_statistic,p_value_raw,p_value_bh,significant_bh_fdr_0.05,better_method
KcatNet,CataPro,1246,0.7111485963256501,0.796107862704658,318621,3.889960228318294e-08,7.551099266735512e-08,True,KcatNet
KcatNet,PreTKcat,1246,0.7111485963256501,0.9226724170203252,247256,1.082053354770011e-28,6.492320128620068e-28,True,KcatNet
KcatNet,UniKP,1246,0.7111485963256501,0.8917824674499502,255900,1.756369527802225e-25,9.660032402912238e-25,True,KcatNet
KcatNet,SELFprot,1246,0.7111485963256501,0.9399674214101538,262170.5,2.810081644412667e-23,1.236435923541573e-22,True,KcatNet
KcatNet,DLKcat,1246,0.7111485963256501,0.973867234633991,261661,1.877328227579958e-23,8.850261644305517e-23,True,KcatNet
KcatNet,TurNuP,1047,0.7188989113436972,0.7129826633868195,253430,0.03285126744993624,0.04090912550369418,True,TurNuP
KcatNet,PMAK,1047,0.7188989113436972,0.7231066561965616,268240,0.534841545777651,0.5693474519568543,False,KcatNet
KcatNet,KinForm-L,729,0.6769022660862901,0.7841370249160359,106397,2.80446032432514e-06,4.74600977962716e-06,True,KcatNet
KcatNet,CatPred,1156,0.7259452008483624,0.8395067747031589,273737.5,9.258207311370402e-08,1.745833378715561e-07,True,KcatNet
KcatNet,DEKP-public-retrained,1246,0.7111485963256501,1.069143160041643,192515,1.162817787460782e-53,7.674597397241163e-52,True,KcatNet
KcatNet,GO-HKP,1236,0.7117933929164547,1.030895249537124,233226.5,1.665022802803425e-32,1.56987864264323e-31,True,KcatNet
CataPro,PreTKcat,1246,0.796107862704658,0.9226724170203252,283900,1.890668983807757e-16,5.19933970547133e-16,True,CataPro
CataPro,UniKP,1246,0.796107862704658,0.8917824674499502,310062,6.851111773053958e-10,1.507244590071871e-09,True,CataPro
CataPro,SELFprot,1246,0.796107862704658,0.9399674214101538,317841,2.7416527537107e-08,5.740603950129016e-08,True,CataPro
CataPro,DLKcat,1246,0.796107862704658,0.973867234633991,308398,2.967254980418109e-10,6.753063058882592e-10,True,CataPro
CataPro,TurNuP,1047,0.8024265131183569,0.7129826633868195,231509.5,1.221575209212286e-05,1.966438141658801e-05,True,TurNuP
CataPro,PMAK,1047,0.8024265131183569,0.7231066561965616,228054,2.281097707540586e-06,3.961906544675755e-06,True,PMAK
CataPro,KinForm-L,729,0.8096148375789928,0.7841370249160359,130544,0.6604654752567665,0.6811050213585405,False,KinForm-L
CataPro,CatPred,1156,0.8274428373410214,0.8395067747031589,329229,0.6504921853948964,0.6811050213585405,False,CataPro
CataPro,DEKP-public-retrained,1246,0.796107862704658,1.069143160041643,214170,7.972906994525356e-43,1.315529654096684e-41,True,CataPro
CataPro,GO-HKP,1236,0.797189233016156,1.030895249537124,295616,5.168771358520726e-12,1.364555638649472e-11,True,CataPro
PreTKcat,UniKP,1246,0.9226724170203252,0.8917824674499502,354740,0.007985016883372827,0.01054022228605213,True,UniKP
PreTKcat,SELFprot,1246,0.9226724170203252,0.9399674214101538,386446,0.8752484491088446,0.8887138098643653,False,PreTKcat
PreTKcat,DLKcat,1246,0.9226724170203252,0.973867234633991,369325,0.1324112796311993,0.1533183237834939,False,PreTKcat
PreTKcat,TurNuP,1047,0.925593698722722,0.7129826633868195,173607,7.810002380006631e-25,3.965078131387982e-24,True,TurNuP
PreTKcat,PMAK,1047,0.925593698722722,0.7231066561965616,183056,1.113947481072766e-20,4.324737279458975e-20,True,PMAK
PreTKcat,KinForm-L,729,0.8978391916388095,0.7841370249160359,101623,3.314062993713831e-08,6.628125987427662e-08,True,KinForm-L
PreTKcat,CatPred,1156,0.9213848974387852,0.8395067747031589,274989,1.690656901698493e-07,3.099537653113904e-07,True,CatPred
PreTKcat,DEKP-public-retrained,1246,0.9226724170203252,1.069143160041643,245810,3.004287066191384e-29,1.982829463686314e-28,True,PreTKcat
PreTKcat,GO-HKP,1236,0.9247164709022803,1.030895249537124,344193,0.002440000002364162,0.003286530615429279,True,PreTKcat
UniKP,SELFprot,1246,0.8917824674499502,0.9399674214101538,372134,0.1992992492734684,0.2192291742008153,False,UniKP
UniKP,DLKcat,1246,0.8917824674499502,0.973867234633991,360852,0.02988566222919953,0.03793180206013787,True,UniKP
UniKP,TurNuP,1047,0.9010697104904655,0.7129826633868195,178505,1.247611571437311e-22,5.14639773217891e-22,True,TurNuP
UniKP,PMAK,1047,0.9010697104904655,0.7231066561965616,186993,4.565756736802303e-19,1.434952117280724e-18,True,PMAK
UniKP,KinForm-L,729,0.8086872964514932,0.7841370249160359,124052,0.1139573286235391,0.1343068515920282,False,KinForm-L
UniKP,CatPred,1156,0.8842336391649126,0.8395067747031589,298411,0.001537579419684524,0.00211417170206622,True,CatPred
UniKP,DEKP-public-retrained,1246,0.8917824674499502,1.069143160041643,219955,3.836046773988677e-40,5.063581741665054e-39,True,UniKP
UniKP,GO-HKP,1236,0.8901037603573351,1.030895249537124,333371,9.906225498758069e-05,0.0001452913073151183,True,UniKP
SELFprot,DLKcat,1246,0.9399674214101538,0.973867234633991,371573.5,0.184286461770343,0.206150957234621,False,SELFprot
SELFprot,TurNuP,1047,0.9328426038149009,0.7129826633868195,185757,1.447800899781522e-19,4.777742969279022e-19,True,TurNuP
SELFprot,PMAK,1047,0.9328426038149009,0.7231066561965616,191537,2.719280241718085e-17,7.803151997973636e-17,True,PMAK
SELFprot,KinForm-L,729,0.9379730460226722,0.7841370249160359,108391,1.463761927249728e-05,2.300197314249572e-05,True,KinForm-L
SELFprot,CatPred,1156,0.9357630105780008,0.8395067747031589,277058,4.45876027292366e-07,7.953464270620583e-07,True,CatPred
SELFprot,DEKP-public-retrained,1246,0.9399674214101538,1.069143160041643,301946,9.873679096709115e-12,2.413566001417784e-11,True,SELFprot
SELFprot,GO-HKP,1236,0.9423548490307467,1.030895249537124,349745,0.009643659733450332,0.01248003024328866,True,SELFprot
DLKcat,TurNuP,1047,0.9857706603409919,0.7129826633868195,183722,2.11128133508966e-20,7.741364895328752e-20,True,TurNuP
DLKcat,PMAK,1047,0.9857706603409919,0.7231066561965616,191115,1.877197990232909e-17,5.631593970698727e-17,True,PMAK
DLKcat,KinForm-L,729,0.8199775952109024,0.7841370249160359,132991,0.9927757271735992,0.9927757271735992,False,KinForm-L
DLKcat,CatPred,1156,0.9519734492974152,0.8395067747031589,290846,0.0001261705125350816,0.0001810272571155519,True,CatPred
DLKcat,DEKP-public-retrained,1246,0.973867234633991,1.069143160041643,330601,5.294136743515764e-06,8.73532562680101e-06,True,DLKcat
DLKcat,GO-HKP,1236,0.9740121933672435,1.030895249537124,359410,0.06901354575487292,0.0828162549058475,False,DLKcat
TurNuP,PMAK,1047,0.7129826633868195,0.7231066561965616,261267,0.1824913058312636,0.206150957234621,False,TurNuP
TurNuP,KinForm-L,646,0.6841664022089783,0.7828384770448582,85049,4.185088141782758e-05,6.277632212674137e-05,True,TurNuP
TurNuP,CatPred,976,0.7181448259795081,0.8321975487359679,189459,2.78332312733528e-08,5.740603950129016e-08,True,TurNuP
TurNuP,DEKP-public-retrained,1047,0.7129826633868195,1.080984745478814,127575,8.088065526026288e-51,2.669061623588675e-49,True,TurNuP
TurNuP,GO-HKP,1037,0.7115389332748311,1.061765786822206,157698,7.553876985366781e-31,5.539509789268973e-30,True,TurNuP
PMAK,KinForm-L,646,0.6952386712814241,0.7828384770448582,86558,0.0001574489348358539,0.0002210985042375821,True,PMAK
PMAK,CatPred,976,0.7340850612579919,0.8321975487359679,200373,1.591977487496327e-05,2.443500329645525e-05,True,PMAK
PMAK,DEKP-public-retrained,1047,0.7231066561965616,1.080984745478814,135597,1.329126263309707e-45,2.924077779281356e-44,True,PMAK
PMAK,GO-HKP,1037,0.7241549858609448,1.061765786822206,155733.5,6.924847193554242e-32,5.71299893468225e-31,True,PMAK
KinForm-L,CatPred,695,0.7699648207217827,0.8512828705887243,110310,0.04488650216191055,0.05486128042011289,False,KinForm-L
KinForm-L,DEKP-public-retrained,729,0.7841370249160359,1.045057097974212,58587,3.741323531227556e-39,4.115455884350312e-38,True,KinForm-L
KinForm-L,GO-HKP,729,0.7841370249160359,1.099149328207823,97189,2.909278013835713e-10,6.753063058882592e-10,True,KinForm-L
CatPred,DEKP-public-retrained,1156,0.8395067747031589,1.040706575922761,229494,2.520081279614424e-20,8.753966550239578e-20,True,CatPred
CatPred,GO-HKP,1146,0.8420979791789295,1.062225819385114,251882,7.529363352737911e-12,1.9112999280027e-11,True,CatPred
DEKP-public-retrained,GO-HKP,1236,1.068614959083186,1.030895249537124,369357,0.304966099196314,0.3299633204419135,False,GO-HKP
