species,total_reactions,reactions_with_gpr,reactions_with_ec,enzyme_substrate_entries,entries_with_ec,entries_with_uniprot,single_gene_entries,complex_entries,entries_with_sequence,entries_with_smiles,experimental_kcat_matched
ecoli,5883,5402,1479,6115,1793,6034,5527,588,0,0,0
yeast,4131,2709,2436,7816,6824,7816,7181,635,0,0,0
