species,substrate_id,substrate_name,substrate_bigg_id,substrate_kegg_id,substrate_chebi_id,substrate_metanetx_id,substrate_pubchem_cid,substrate_parent_inchikey_connectivity,structure_standardization_status,prior_role_class,substrate_role_class,substrate_role_group,substrate_role_registry_name,substrate_role_evidence,substrate_role_evidence_types,substrate_role_confidence,registry_structure_consistency,role_class_changed,n_reactions,n_entries
ecoli,uri_c,Uridine,uri,C00299,CHEBI:15296;CHEBI:16704;CHEBI:27227;CHEBI:46386;CHEBI:46391;CHEBI:46460;CHEBI:46463;CHEBI:9893,MNXM288,,DRTQHJPVMGBUCF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,7,7
ecoli,uri_e,Uridine,uri,C00299,CHEBI:15296;CHEBI:16704;CHEBI:27227;CHEBI:46386;CHEBI:46391;CHEBI:46460;CHEBI:46463;CHEBI:9893,MNXM288,,DRTQHJPVMGBUCF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,uri_p,Uridine,uri,C00299,CHEBI:15296;CHEBI:16704;CHEBI:27227;CHEBI:46386;CHEBI:46391;CHEBI:46460;CHEBI:46463;CHEBI:9893,MNXM288,,DRTQHJPVMGBUCF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,utp_c,UTP C9H11N2O15P3,utp,C00075,CHEBI:13510;CHEBI:15713;CHEBI:27233;CHEBI:37567;CHEBI:46397;CHEBI:46398;CHEBI:57481;CHEBI:9850,MNXM121,,PGAVKCOVUIYSFO,ok,energy_nucleotide,energy_nucleotide,currency_or_cofactor,UTP,normalized_name;bigg_ids:utp;kegg_ids:c00075;chebi_ids:chebi:46398;metanetx_ids:mnxm121;inchikey_connectivity:pgavkcovuiysfo,normalized_name;bigg_ids;kegg_ids;chebi_ids;metanetx_ids;inchikey_connectivity,multiple_evidence_types,consistent,False,11,11
ecoli,val__L_c,L-Valine,val__L,C00183;C16436,CHEBI:13186;CHEBI:16414;CHEBI:21417;CHEBI:27266;CHEBI:32851;CHEBI:32852;CHEBI:32859;CHEBI:32860;CHEBI:46282;CHEBI:46376;CHEBI:46418;CHEBI:46484;CHEBI:57762;CHEBI:6321;CHEBI:87977,MNXM199,,KZSNJWFQEVHDMF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,val__L_e,L-Valine,val__L,C00183;C16436,CHEBI:13186;CHEBI:16414;CHEBI:21417;CHEBI:27266;CHEBI:32851;CHEBI:32852;CHEBI:32859;CHEBI:32860;CHEBI:46282;CHEBI:46376;CHEBI:46418;CHEBI:46484;CHEBI:57762;CHEBI:6321;CHEBI:87977,MNXM199,,KZSNJWFQEVHDMF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,val__L_p,L-Valine,val__L,C00183;C16436,CHEBI:13186;CHEBI:16414;CHEBI:21417;CHEBI:27266;CHEBI:32851;CHEBI:32852;CHEBI:32859;CHEBI:32860;CHEBI:46282;CHEBI:46376;CHEBI:46418;CHEBI:46484;CHEBI:57762;CHEBI:6321;CHEBI:87977,MNXM199,,KZSNJWFQEVHDMF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,6,6
ecoli,wco_c,Tungsten binding cofactor,wco,,,MNXM148528,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,xan_c,Xanthine,xan,C00385,CHEBI:10059;CHEBI:15318;CHEBI:17712;CHEBI:27317;CHEBI:46377;CHEBI:48517,MNXM174,,LRFVTYWOQMYALW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
ecoli,xan_e,Xanthine,xan,C00385,CHEBI:10059;CHEBI:15318;CHEBI:17712;CHEBI:27317;CHEBI:46377;CHEBI:48517,MNXM174,,LRFVTYWOQMYALW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,xan_p,Xanthine,xan,C00385,CHEBI:10059;CHEBI:15318;CHEBI:17712;CHEBI:27317;CHEBI:46377;CHEBI:48517,MNXM174,,LRFVTYWOQMYALW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,7,7
ecoli,xmp_c,Xanthosine 5'-phosphate,xmp,C00655,CHEBI:10067;CHEBI:10938;CHEBI:15324;CHEBI:15652;CHEBI:27328;CHEBI:57464,MNXM298,,DCTLYFZHFGENCW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
