species,enzyme_substrate_entries,entries_with_single_sequence,complex_entries_with_sequences_available,missing_uniprot,sequence_missing_from_uniprot_fetch,entries_with_smiles
ecoli,8797,7608,1092,94,3,0
yeast,7816,7181,635,0,0,0
