Method,N_enzymes,Mean_variance,Median_variance,High_substrate_sensitivity
DLKcat,15,0.5900543126180794,0.07600855419887503,3
MTLKP,15,0.02300145479221296,0.0003383332551256881,0
TurNup,16,0.008032358016102007,0.0004688438465973987,0
UniKP,16,0.11220267327273163,0.03717785895750755,1
