Method,N_pairs,Mean_ASI,Median_ASI,Symmetric_pairs,Symmetric_percentage
DLKcat,177,0.9165705886061263,0.6733334707097205,15,8.474576271186441
MTLKP,224,0.15799751740799373,0.10125034169089456,112,50.0
TurNup,243,0.09868188383620767,0.05551386182375155,150,61.72839506172839
UniKP,238,0.39146161542101676,0.3077893972386108,54,22.689075630252102
