Method,Total_coverage,Total_pct,Transport_coverage,Transport_pct,Metabolic_coverage,Metabolic_pct,Complex_coverage,Complex_pct
DLKcat,1821,34.126686656671666,35,1.4332514332514332,1786,61.71389080856945,287,65.97701149425288
MTLKP,1740,32.608695652173914,53,2.1703521703521704,1687,58.2930200414651,268,61.60919540229885
TurNup,2245,42.07271364317841,60,2.457002457002457,2185,75.50103662750519,354,81.37931034482759
UniKP,2302,43.14092953523238,56,2.293202293202293,2246,77.60884588804423,380,87.35632183908046
