Method,N_reactions,Mean_CV,Median_CV,CV_std,High_specificity_count
DLKcat,91,0.6481081835512248,0.6464053013071734,0.37714793887828385,72
MTLKP,256,0.4107518742817479,0.337573103949654,0.30574678913232717,144
TurNup,320,0.3220774290535754,0.2842726165980446,0.2679994894976772,158
UniKP,323,0.4446339715622936,0.43635812037574184,0.27967100665476113,210
