Method,N_predictions,Mean_log10,Median_log10,Std_log10,Skewness,Kurtosis,Min_log10,Max_log10,Dynamic_Range
DLKcat,1821,0.8702942177590604,0.9078840973806557,0.9069927312734068,0.051769976952001445,3.187930955770156,-3.5228787452803374,5.597768544789207,9.120647290069545
MTLKP,1740,0.6421811911140076,0.6691460757117843,0.6419333945079033,-0.27116601528826206,1.360795335030966,-2.0040683580469354,3.865636118407727,5.869704476454663
TurNup,2245,1.1264414579570106,1.145142808438879,0.5255679490041248,-0.17970362426206232,0.9993352346825173,-1.3613168028593352,3.1503372172665602,4.511654020125896
UniKP,2302,0.7605063014230985,0.7549910726770003,0.41734718502383467,0.45626660720812634,3.5242379609355554,-1.5755954385158253,3.2580760672653457,4.8336715057811706
