,DLKcat,MTLKP,TurNup,UniKP
DLKcat,1.0,-0.0337276079531391,-0.08386874002587287,0.0840290826042055
MTLKP,-0.0337276079531391,1.0,0.4147801820147241,0.1360166531268605
TurNup,-0.08386874002587287,0.4147801820147241,1.0,0.07785007611616371
UniKP,0.0840290826042055,0.1360166531268605,0.07785007611616371,1.0
