Method,N_single,N_complex,Mean_single_log10,Mean_complex_log10,Median_single_log10,Median_complex_log10,MannWhitney_pval,Significant_difference
DLKcat,1534,287,0.7610899291528196,1.453985432818202,0.7778747871753169,1.3255074535599947,2.4924029316232126e-37,True
MTLKP,1472,268,0.6661470117255778,0.5105480271579198,0.6889822022655676,0.5838536754253583,7.902606090581892e-05,True
TurNup,1891,354,1.1341713196478957,1.0851500216364909,1.1553858573125515,1.094240480918514,0.03522519607076852,True
UniKP,1922,380,0.7273210326369256,0.928353897757373,0.7174908614651272,0.9007845590568908,7.049119600341194e-21,True
