Method,N_samples,RMSE_log10,MAE_log10,R2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
TurNup,741,1.876023426000291,1.3395200503713536,-0.14418700138813234,0.21311549600527627,4.658682660687662e-09,0.238438364126826,4.874963646510841e-11
UniKP,743,2.1397880761309893,1.618374764277169,-0.4861071407686124,-0.01998697285446359,0.5864810454833616,-0.037036889400588247,0.3133590949519554
MTLKP,614,2.245548346647151,1.6535836348289268,-0.6808832411031245,0.15964619491361295,7.087564520954425e-05,0.15401446325031942,0.0001273983022785304
DLKcat,614,2.476375531099445,1.8940490088487472,-0.8118528812133774,-0.08090651460963309,0.04507162736389368,-0.012051669102521987,0.7656795900551336
