Method,N_samples,Mean_bias,Bias_SD,Trend_correlation,Trend_p_value,Systematic_trend
DLKcat,614,-1.2266734048059649,2.1512108518157396,-0.8919150941290129,4.1868671757105295e-213,True
MTLKP,614,-1.3941462868558596,1.7603532338640937,-0.920848284198163,1.6665249455759486e-252,True
TurNup,741,-0.7316335001400358,1.727476864208233,-0.9421406666361818,0.0,True
UniKP,743,-1.127560950294114,1.818598172803491,-0.9700382669580074,0.0,True
